crop,location,month,season,festival,previous_demand,supply,temperature,quantity_demanded,recommended_price
Rice (Basmati),Hadapsar,2,Zaid,0,10117,2103,28.3,7377,27.91
Pomegranate,Narayangaon,4,Kharif,0,7027,9836,32.6,6190,14.53
Rice (Basmati),Hadapsar,4,Rabi,1,4593,6361,31.4,8896,25.8
Rice (Basmati),Narayangaon,11,Zaid,0,8733,4150,16.0,7189,24.56
Potato,Chakan,11,Kharif,1,12269,14760,16.0,10525,15.65
Onion,Hadapsar,6,Kharif,0,10708,14782,19.6,4688,14.86
Onion,Pune,9,Rabi,0,14775,12948,13.2,8783,23.75
Rice (Basmati),Baramati,8,Rabi,0,8384,10493,12.8,6333,13.76
Potato,Chakan,7,Zaid,1,21158,16299,16.7,11618,14.98
Potato,Chakan,9,Zaid,0,13707,10796,15.4,9126,17.49
Potato,Pune,2,Zaid,0,15803,17617,33.6,9022,10.0
Onion,Pune,5,Rabi,1,12170,14989,22.8,9350,23.54
Tomato,Pune,5,Rabi,0,14588,7805,28.6,9639,27.75
Pomegranate,Manchar,6,Kharif,0,9632,7917,22.6,9261,22.02
Onion,Chakan,12,Kharif,0,13473,8988,18.7,8741,29.63
Pomegranate,Pune,10,Rabi,0,5722,7169,18.9,4527,16.04
Tomato,Manchar,2,Monsoon,0,17013,12058,32.3,8058,19.0
Tomato,Pune,11,Zaid,0,11460,10918,17.3,7398,19.72
Wheat,Chakan,3,Kharif,0,10336,7136,32.7,7582,20.67
Grapes,Baramati,3,Kharif,0,9307,3272,31.5,9349,29.12
Onion,Pune,2,Monsoon,0,16105,14239,32.1,10379,24.21
Pomegranate,Junnar,1,Kharif,0,9374,651,22.4,10987,35.5
Potato,Junnar,3,Monsoon,0,18412,13419,33.7,10349,15.39
Potato,Junnar,1,Rabi,0,14896,18102,26.2,6788,10.0
Rice (Basmati),Junnar,4,Kharif,0,10574,5388,29.8,8060,24.01
Wheat,Hadapsar,2,Zaid,0,8827,11192,29.1,4928,10.6
Potato,Manchar,10,Monsoon,0,13218,7688,13.7,11624,25.9
Tomato,Pune,8,Monsoon,0,17410,15181,12.1,8226,14.57
Potato,Hadapsar,8,Kharif,1,13021,13186,13.5,11347,19.24
Soybean,Junnar,5,Zaid,0,10142,5043,28.7,6223,21.77
Potato,Manchar,2,Zaid,0,14328,17673,30.1,4926,10.0
Potato,Manchar,8,Kharif,0,16609,13107,15.5,6867,10.64
Grapes,Narayangaon,12,Rabi,0,7462,3734,27.1,7924,26.29
Rice (Basmati),Manchar,7,Zaid,0,7770,6888,22.1,5935,18.57
Onion,Pune,3,Zaid,0,11931,20490,35.2,4607,10.0
Wheat,Pune,8,Kharif,0,6343,8804,13.5,6847,17.06
Tomato,Junnar,7,Monsoon,1,14486,16061,13.8,10317,18.38
Pomegranate,Chakan,8,Rabi,0,9926,6931,16.8,8332,22.1
Potato,Manchar,8,Rabi,1,18293,10982,12.0,12085,23.65
Soybean,Narayangaon,7,Rabi,0,8652,3372,18.8,8264,27.34
Pomegranate,Hadapsar,4,Zaid,0,10632,2117,32.2,8204,29.13
Grapes,Manchar,9,Rabi,1,7290,7144,12.6,9811,26.0
Pomegranate,Pune,2,Zaid,0,9739,9143,27.9,6684,16.31
Grapes,Chakan,4,Rabi,0,6920,4554,31.1,6424,22.8
Grapes,Narayangaon,1,Kharif,0,7062,7817,30.2,8050,20.35
Tomato,Hadapsar,7,Rabi,1,11318,10301,15.8,10463,27.24
Wheat,Manchar,11,Kharif,0,5131,7953,14.0,4868,15.37
Soybean,Baramati,1,Zaid,0,6101,13081,28.0,4701,10.0
Rice (Basmati),Pune,10,Monsoon,0,8567,5798,14.1,6638,21.26
Onion,Hadapsar,9,Kharif,0,18310,11739,10.1,12105,30.55
Potato,Chakan,2,Kharif,0,14384,11853,32.0,9208,16.03
Tomato,Junnar,12,Rabi,1,16383,16715,23.6,11469,19.13
Soybean,Manchar,8,Kharif,1,10710,9072,13.6,10180,23.66
Soybean,Narayangaon,7,Kharif,0,9637,6835,17.9,7591,21.13
Onion,Chakan,7,Kharif,0,15057,13574,18.9,7434,20.79
Tomato,Manchar,8,Zaid,0,17038,13375,8.3,10101,20.09
Pomegranate,Baramati,7,Zaid,1,12085,7713,17.3,13234,30.28
Rice (Basmati),Narayangaon,12,Rabi,0,8512,6450,23.3,7298,21.27
Potato,Junnar,4,Kharif,1,13980,7288,32.5,12719,30.15
Pomegranate,Pune,10,Rabi,0,11159,5193,12.5,8624,25.15
Grapes,Manchar,2,Monsoon,0,4817,8092,30.2,4616,14.79
Wheat,Baramati,11,Rabi,1,9126,2669,18.7,12057,36.08
Onion,Pune,7,Monsoon,0,17276,12671,18.2,8606,23.9
Grapes,Narayangaon,11,Rabi,0,8937,7770,14.5,7815,20.07
Tomato,Chakan,4,Rabi,0,15217,9228,31.0,9315,25.13
Potato,Chakan,6,Kharif,0,19715,15845,20.3,9297,10.18
Tomato,Chakan,11,Monsoon,0,14862,13031,17.3,8265,17.85
Onion,Baramati,6,Monsoon,0,15091,11923,23.8,8496,24.86
Potato,Narayangaon,8,Zaid,1,15315,17828,12.6,10324,10.74
Potato,Chakan,9,Kharif,1,17133,16423,14.8,11575,14.73
Pomegranate,Hadapsar,11,Kharif,1,7259,4416,15.6,11074,31.99
Wheat,Narayangaon,12,Zaid,0,7503,5013,20.0,7652,23.96
Onion,Baramati,8,Kharif,1,15533,12497,14.4,11512,30.52
Pomegranate,Baramati,12,Zaid,1,7107,6985,24.1,8721,24.6
Grapes,Pune,10,Rabi,0,7040,6820,14.1,6244,19.14
Pomegranate,Hadapsar,11,Kharif,0,11131,6336,15.9,10433,26.15
Grapes,Narayangaon,4,Kharif,0,8178,9415,29.6,7324,16.86
Soybean,Narayangaon,4,Rabi,0,4306,5083,33.0,5268,20.28
Onion,Hadapsar,3,Monsoon,1,16005,17802,37.0,8405,17.9
Wheat,Manchar,9,Kharif,0,7683,3533,11.3,8036,26.75
Rice (Basmati),Baramati,5,Monsoon,1,10498,7729,24.9,10831,26.65
Tomato,Manchar,12,Monsoon,0,14920,9923,22.3,8310,22.58
Rice (Basmati),Narayangaon,8,Monsoon,0,7446,6437,13.0,6359,19.88
Grapes,Junnar,6,Monsoon,0,8516,7673,20.8,7541,19.8
Wheat,Pune,6,Rabi,0,10367,4848,24.0,8784,25.9
Grapes,Pune,4,Rabi,0,8391,3843,32.6,8827,27.48
Onion,Narayangaon,7,Monsoon,0,17799,15812,17.1,7729,17.88
Onion,Baramati,8,Monsoon,0,13841,16223,13.6,7620,17.1
Onion,Manchar,10,Zaid,0,18472,13995,12.0,8706,22.07
Rice (Basmati),Chakan,10,Zaid,1,5937,5177,14.6,10951,30.66
Potato,Baramati,2,Rabi,0,15076,13800,31.9,6868,10.0
Rice (Basmati),Manchar,1,Zaid,0,8798,8118,26.0,8658,20.81
Wheat,Baramati,12,Rabi,1,4876,11504,21.8,9280,18.66
Onion,Junnar,2,Monsoon,0,16305,9559,33.6,11034,32.21
Pomegranate,Pune,3,Rabi,0,8648,5771,28.7,7677,22.86
Wheat,Hadapsar,8,Zaid,0,5689,7298,14.1,5999,18.05
Onion,Chakan,5,Kharif,0,14065,14366,26.9,7793,20.14
Potato,Narayangaon,3,Rabi,0,10810,14135,31.5,7317,10.0
Wheat,Chakan,12,Kharif,0,5407,2719,18.7,8553,28.75
Wheat,Hadapsar,1,Kharif,0,10190,6097,30.2,10555,26.69
Wheat,Narayangaon,2,Kharif,0,7738,3913,30.3,8370,26.69
Tomato,Chakan,12,Rabi,0,18943,12967,22.1,10087,20.68
Soybean,Junnar,11,Rabi,0,5869,6730,17.1,6449,19.58
Soybean,Narayangaon,5,Kharif,0,7083,5015,26.8,7302,23.43
Onion,Pune,10,Monsoon,1,14196,14198,14.6,10560,26.54
Grapes,Hadapsar,5,Kharif,0,10010,5869,27.7,9679,25.71
Tomato,Chakan,4,Rabi,0,17379,10431,31.9,10523,25.14
Tomato,Junnar,3,Kharif,1,15241,10928,29.4,10174,25.87
Rice (Basmati),Chakan,12,Kharif,0,6722,3192,25.3,8741,28.32
Onion,Narayangaon,9,Zaid,0,11739,13927,7.2,5984,18.08
Pomegranate,Manchar,2,Monsoon,1,7495,7480,30.3,10307,26.24
Onion,Manchar,4,Monsoon,0,16045,14017,35.6,9192,22.76
Onion,Baramati,2,Rabi,0,13035,12938,31.8,6364,20.14
Onion,Junnar,7,Zaid,0,11814,14601,17.0,6898,18.45
Pomegranate,Manchar,1,Monsoon,0,8944,6848,29.4,7907,21.59
Grapes,Baramati,9,Rabi,0,5195,10874,9.5,4123,10.0
Rice (Basmati),Baramati,2,Monsoon,1,11639,4430,31.1,11545,32.67
Tomato,Junnar,2,Kharif,0,16268,14534,30.3,8017,15.22
Soybean,Hadapsar,3,Monsoon,0,5347,8382,30.9,5788,16.11
Tomato,Narayangaon,3,Zaid,0,12129,8717,34.0,9340,25.93
Pomegranate,Baramati,3,Monsoon,0,4754,7908,29.8,4818,15.36
Tomato,Junnar,4,Kharif,0,15468,9610,31.3,10137,25.79
Grapes,Baramati,10,Zaid,0,7713,5178,9.4,6903,22.59
Grapes,Baramati,10,Monsoon,1,10622,8236,12.7,9588,24.03
Grapes,Pune,7,Monsoon,0,3329,5252,15.5,6545,21.94
Grapes,Hadapsar,4,Rabi,0,8850,7339,31.0,9804,23.7
Wheat,Narayangaon,4,Kharif,0,5687,2655,28.2,6759,26.16
Tomato,Chakan,3,Monsoon,0,15898,12174,35.4,10600,22.64
Wheat,Narayangaon,12,Zaid,0,12384,8202,22.7,10495,23.44
Grapes,Manchar,3,Monsoon,0,6907,8953,33.4,6197,15.87
Onion,Pune,6,Kharif,1,19930,12750,20.7,13677,33.39
Potato,Chakan,9,Rabi,0,13781,13033,12.1,8132,12.65
Soybean,Baramati,4,Rabi,0,8098,5923,28.0,5900,19.97
Rice (Basmati),Chakan,2,Rabi,0,11279,6252,27.7,9518,24.9
Pomegranate,Chakan,9,Zaid,0,6582,8636,13.1,5119,14.72
Tomato,Baramati,4,Zaid,0,13534,11746,31.6,6862,17.67
Grapes,Junnar,2,Zaid,1,11429,3852,31.4,10242,31.59
Grapes,Manchar,7,Kharif,0,7535,3884,17.8,9216,28.0
Pomegranate,Narayangaon,8,Zaid,0,9870,5266,11.0,8881,25.42
Rice (Basmati),Hadapsar,4,Kharif,0,4080,11651,28.3,4096,10.0
Wheat,Baramati,2,Monsoon,1,10024,7303,31.6,10702,27.1
Tomato,Pune,1,Monsoon,0,13789,18065,28.4,5608,10.0
Onion,Baramati,8,Kharif,1,10137,13257,10.3,8802,25.32
Tomato,Baramati,7,Monsoon,1,13791,13310,19.2,11099,23.68
Potato,Pune,5,Monsoon,0,12306,11071,29.4,6944,13.81
Pomegranate,Chakan,12,Zaid,0,8565,4730,20.4,8887,26.23
Grapes,Junnar,12,Kharif,0,9214,9778,19.5,6250,14.71
Tomato,Baramati,4,Rabi,0,14946,14936,30.0,8184,14.87
Wheat,Baramati,11,Monsoon,0,9663,6431,21.7,8357,22.89
Onion,Chakan,10,Zaid,0,13342,14004,15.1,5006,16.5
Onion,Pune,2,Rabi,0,15421,14781,30.0,7731,19.42
Rice (Basmati),Chakan,10,Monsoon,0,7300,7874,17.6,7247,19.06
Grapes,Hadapsar,8,Rabi,0,9326,9434,13.7,5603,14.25
Potato,Pune,6,Monsoon,0,14811,13285,23.6,8517,12.85
Pomegranate,Junnar,3,Zaid,1,8618,10756,32.5,11822,23.6
Pomegranate,Manchar,3,Zaid,0,8657,8751,30.8,7316,17.85
Onion,Narayangaon,8,Kharif,0,14289,15026,13.8,7011,17.98
Onion,Chakan,9,Rabi,0,15866,16468,10.0,8893,18.64
Tomato,Baramati,4,Rabi,1,15625,14298,32.2,12083,23.68
Soybean,Chakan,7,Rabi,1,11454,5501,17.4,12864,33.04
Rice (Basmati),Manchar,5,Rabi,0,10333,5068,27.4,7777,24.06
Wheat,Hadapsar,3,Monsoon,0,9469,4017,32.0,7916,25.85
Grapes,Narayangaon,3,Zaid,0,10181,2948,32.9,8371,28.14
Wheat,Manchar,10,Rabi,0,8163,9766,11.5,6032,14.4
Tomato,Junnar,1,Rabi,0,16546,15706,25.2,7367,12.49
Grapes,Baramati,4,Monsoon,0,9700,8689,31.4,7322,17.95
Potato,Hadapsar,11,Kharif,0,18360,15337,15.8,7442,10.0
Soybean,Hadapsar,4,Kharif,0,8313,7330,29.7,7268,19.91
Pomegranate,Narayangaon,3,Kharif,1,7071,5635,33.5,9964,28.49
Tomato,Baramati,5,Rabi,0,13092,11116,24.9,5965,17.27
Tomato,Hadapsar,6,Monsoon,0,17106,18583,19.4,6172,10.0
Potato,Junnar,6,Zaid,0,15703,17725,24.3,6587,10.0
Soybean,Manchar,9,Kharif,1,9589,3364,12.6,10470,32.66
Potato,Chakan,9,Kharif,0,13383,12712,11.1,6998,11.43
Onion,Pune,7,Rabi,0,12968,13654,17.9,7784,21.19
Tomato,Junnar,6,Kharif,0,14835,11427,19.5,8448,20.53
Onion,Manchar,9,Rabi,0,14754,16298,10.3,8015,17.58
Pomegranate,Manchar,12,Zaid,0,6708,4502,21.0,6379,22.82
Grapes,Baramati,6,Zaid,0,7279,7779,22.6,6546,18.15
Onion,Pune,2,Kharif,0,12434,11195,33.2,7152,23.94
Pomegranate,Baramati,7,Kharif,0,7746,4307,15.9,7294,24.48
Soybean,Baramati,12,Kharif,0,10376,7842,23.5,7606,19.65
Soybean,Narayangaon,10,Monsoon,0,6713,9075,12.7,5559,14.73
Soybean,Hadapsar,12,Monsoon,0,12125,3831,22.0,11113,30.92
Soybean,Pune,7,Kharif,0,5875,7571,16.6,7065,19.24
Pomegranate,Chakan,5,Kharif,0,6952,3357,28.0,7538,26.27
Grapes,Chakan,12,Monsoon,1,8553,8330,19.8,9082,23.13
Grapes,Chakan,12,Monsoon,0,7086,5745,22.5,6652,21.36
Potato,Baramati,2,Kharif,0,15895,10465,34.5,7595,15.69
Tomato,Hadapsar,12,Zaid,1,14022,14243,20.2,10840,21.9
Wheat,Baramati,1,Monsoon,0,7551,5015,26.3,7949,24.4
Pomegranate,Junnar,5,Zaid,1,10916,5211,26.6,12103,32.34
Tomato,Chakan,12,Kharif,1,16719,14365,18.9,9950,20.38
Grapes,Baramati,5,Monsoon,0,10615,5557,26.2,8563,24.51
Soybean,Manchar,10,Rabi,0,7130,8376,13.7,6656,17.42
Tomato,Baramati,4,Kharif,1,13129,16215,29.6,10195,17.97
Pomegranate,Baramati,8,Rabi,0,7760,5953,13.5,6738,21.18
Wheat,Pune,11,Kharif,0,10100,4340,17.9,9637,27.95
Grapes,Manchar,9,Monsoon,0,7791,6078,12.1,8455,23.57
Rice (Basmati),Baramati,5,Zaid,0,8363,10773,24.8,6003,12.85
Potato,Narayangaon,4,Kharif,0,14845,15086,31.8,8612,10.29
Pomegranate,Junnar,12,Monsoon,0,6208,4173,22.7,7212,24.56
Soybean,Junnar,6,Rabi,1,9613,7015,21.6,9148,25.2
Tomato,Hadapsar,1,Zaid,0,11991,15400,27.2,4719,10.0
Grapes,Pune,1,Rabi,1,7030,8439,22.2,7839,21.1
Soybean,Manchar,10,Zaid,0,9659,5045,15.0,7775,24.09
Rice (Basmati),Chakan,11,Zaid,0,7872,5024,20.0,6932,22.86
Soybean,Hadapsar,5,Kharif,0,9842,5144,27.3,7779,23.95
Onion,Narayangaon,2,Monsoon,0,10696,11702,30.2,5781,21.12
Wheat,Pune,1,Monsoon,0,9024,6079,29.5,8943,24.3
Onion,Chakan,11,Kharif,0,16416,14083,18.9,8629,21.82
Wheat,Manchar,11,Kharif,1,8117,4638,13.6,10210,30.36
Tomato,Junnar,10,Kharif,0,11081,15332,15.1,7120,12.68
Wheat,Hadapsar,6,Zaid,0,5613,8798,24.0,4935,14.21
Wheat,Baramati,2,Monsoon,1,4361,4767,27.0,10486,30.58
Tomato,Manchar,4,Monsoon,0,12818,12473,28.4,7170,17.05
Soybean,Pune,1,Zaid,0,8099,6097,24.2,8624,23.79
Pomegranate,Chakan,11,Kharif,0,8214,9492,17.5,7596,17.16
Grapes,Pune,4,Kharif,0,7052,6464,31.8,6888,20.64
Wheat,Narayangaon,11,Rabi,0,5804,5595,13.4,6288,21.04
Rice (Basmati),Narayangaon,5,Rabi,0,2752,3448,27.0,6223,24.16
Rice (Basmati),Hadapsar,11,Zaid,0,13266,1986,16.0,10034,32.07
Pomegranate,Chakan,3,Rabi,1,6280,7892,36.1,9230,24.01
Rice (Basmati),Baramati,11,Zaid,0,8587,3542,16.0,8937,28.09
Rice (Basmati),Pune,3,Monsoon,0,10131,4914,35.4,8291,25.07
Soybean,Baramati,5,Kharif,0,11329,10405,25.8,5312,12.36
Grapes,Hadapsar,6,Zaid,0,8323,5513,21.0,7638,23.19
Grapes,Pune,3,Zaid,0,8434,5633,28.2,7605,22.96
Wheat,Manchar,11,Kharif,0,12165,3607,16.6,10458,30.28
Tomato,Chakan,5,Rabi,0,19221,10579,29.6,10897,25.48
Potato,Junnar,9,Monsoon,1,17332,12989,11.7,13040,22.08
Rice (Basmati),Junnar,7,Monsoon,1,8158,9199,19.9,10812,24.42
Wheat,Narayangaon,9,Monsoon,0,10894,6852,14.4,6862,20.01
Pomegranate,Hadapsar,8,Monsoon,1,10378,8271,14.0,11740,27.2
Soybean,Junnar,9,Rabi,0,4719,2419,11.6,6614,26.29
Potato,Manchar,12,Kharif,1,11213,14033,22.0,8458,13.64
Onion,Baramati,6,Monsoon,0,16963,16589,22.9,7469,16.32
Potato,Junnar,8,Rabi,0,15119,12645,13.7,9457,15.22
Grapes,Hadapsar,5,Zaid,0,6291,7338,27.0,7319,19.97
Grapes,Narayangaon,10,Monsoon,0,8419,5271,15.0,6813,22.31
Wheat,Hadapsar,8,Zaid,0,5689,6663,11.9,7166,20.75
Pomegranate,Junnar,2,Rabi,1,6071,8840,28.9,8563,21.58
Tomato,Narayangaon,10,Rabi,0,14344,13888,15.0,6704,14.22
Rice (Basmati),Baramati,11,Kharif,0,9457,5280,19.1,7535,23.38
Pomegranate,Chakan,3,Kharif,0,8370,7651,33.5,7163,19.27
Tomato,Junnar,10,Zaid,0,16931,16590,13.5,7993,12.1
Grapes,Pune,5,Monsoon,1,7124,6849,27.8,9670,26.23
Wheat,Pune,3,Zaid,0,10541,8077,32.4,6467,17.58
Wheat,Junnar,2,Monsoon,0,8785,8074,33.0,7665,19.39
Pomegranate,Hadapsar,2,Kharif,0,10549,8525,32.8,6293,16.65
Rice (Basmati),Baramati,8,Rabi,0,7343,8008,12.3,6372,17.55
Grapes,Manchar,10,Kharif,0,4949,3665,12.9,4241,20.86
Pomegranate,Manchar,1,Monsoon,0,7961,5843,27.0,7979,23.2
Grapes,Pune,4,Zaid,1,8242,10369,30.2,9378,20.51
Grapes,Junnar,5,Kharif,1,3677,7139,29.0,6978,21.76
Pomegranate,Baramati,3,Kharif,0,8742,9383,30.1,6016,14.95
Potato,Baramati,8,Zaid,0,15300,15089,11.9,7551,10.0
Wheat,Narayangaon,4,Rabi,1,8376,2516,33.2,12944,37.64
Soybean,Baramati,6,Kharif,0,9537,10120,19.7,5839,13.58
Rice (Basmati),Hadapsar,8,Monsoon,1,8877,3921,15.8,10476,31.83
Tomato,Junnar,9,Rabi,0,13330,18724,8.8,5899,10.0
Rice (Basmati),Narayangaon,5,Rabi,0,9683,4956,31.4,6492,22.3
Rice (Basmati),Junnar,3,Rabi,1,9907,6388,30.3,11449,29.59
Potato,Hadapsar,2,Zaid,0,13477,14275,30.6,9387,12.67
Soybean,Chakan,10,Rabi,0,7152,2457,11.9,8281,28.74
Grapes,Narayangaon,10,Rabi,0,8852,6548,12.1,8064,22.27
Soybean,Manchar,4,Zaid,0,10972,5949,31.3,9659,25.57
Rice (Basmati),Narayangaon,4,Kharif,0,10734,7083,30.8,6845,19.64
Soybean,Chakan,6,Kharif,0,9768,5956,22.0,8735,24.17
Tomato,Hadapsar,7,Kharif,0,14831,11819,18.6,6947,17.69
Rice (Basmati),Baramati,4,Kharif,0,5578,8327,30.7,4779,14.68
Potato,Pune,9,Kharif,0,15428,13026,8.9,10247,15.83
Potato,Hadapsar,3,Monsoon,1,13202,10174,31.6,12150,24.96
Wheat,Junnar,10,Monsoon,0,8818,3186,12.2,7545,26.54
Pomegranate,Manchar,12,Rabi,0,2792,6997,22.9,5422,17.64
Rice (Basmati),Baramati,2,Kharif,1,6096,7557,30.9,10224,26.0
Soybean,Baramati,7,Kharif,0,8695,5282,15.6,7928,23.97
Onion,Junnar,7,Rabi,0,16990,13094,19.2,7961,22.3
Wheat,Junnar,9,Kharif,1,9707,7091,10.9,11490,28.6
Potato,Manchar,9,Rabi,0,16411,11622,9.7,9220,16.4
Soybean,Chakan,7,Zaid,1,4503,6833,16.4,11052,28.33
Tomato,Baramati,4,Zaid,0,14232,14126,34.7,10565,19.66
Wheat,Pune,9,Zaid,1,10164,8989,13.6,10295,23.96
Pomegranate,Narayangaon,7,Kharif,1,9678,4957,15.9,10284,29.99
Grapes,Baramati,4,Kharif,1,10116,8844,31.9,10481,24.46
Tomato,Pune,3,Rabi,0,16391,15623,31.4,7798,13.26
Wheat,Chakan,8,Rabi,0,7879,7637,14.9,5859,17.33
Potato,Manchar,9,Kharif,1,15014,11849,13.4,11872,22.03
Rice (Basmati),Manchar,3,Zaid,0,7042,4343,33.4,7122,24.17
Potato,Pune,5,Monsoon,0,17223,18337,27.1,6748,10.0
Grapes,Hadapsar,11,Kharif,0,4955,9282,15.7,6731,16.17
Grapes,Chakan,1,Rabi,0,10475,3598,27.3,9070,28.21
Wheat,Manchar,7,Zaid,0,9343,8154,17.8,7123,18.45
Tomato,Pune,8,Rabi,0,15776,13597,10.7,8471,17.31
Wheat,Pune,1,Zaid,0,8347,4747,30.4,8034,24.93
Onion,Baramati,8,Rabi,0,15571,10833,13.1,8256,26.13
Wheat,Baramati,3,Monsoon,0,12092,8428,30.2,9763,22.0
Potato,Narayangaon,9,Kharif,0,16556,19809,16.3,5702,10.0
Potato,Manchar,3,Monsoon,0,16195,16750,31.0,7312,10.0
Tomato,Pune,4,Zaid,0,16144,13345,32.9,8120,17.16
Onion,Manchar,6,Kharif,0,13331,16429,22.7,6702,15.41
Wheat,Hadapsar,11,Kharif,0,11931,7849,15.1,9067,21.83
Pomegranate,Pune,5,Zaid,0,6054,1806,27.9,6530,27.09
Soybean,Narayangaon,7,Rabi,1,7732,482,18.8,11256,38.16
Potato,Narayangaon,6,Kharif,0,14213,17174,23.2,5947,10.0
Pomegranate,Pune,12,Monsoon,1,7159,9907,22.7,9786,21.82
Grapes,Narayangaon,8,Monsoon,0,8766,5301,13.3,5214,19.87
Soybean,Chakan,10,Kharif,0,4671,10565,12.4,4668,11.15
Wheat,Junnar,1,Zaid,0,7943,6116,30.0,7428,21.97
Wheat,Hadapsar,2,Zaid,0,7582,9670,30.5,6912,15.86
Onion,Junnar,9,Kharif,0,14015,14924,13.1,7735,19.22
